2025-02-19 21:21:43 - Database connections opened successfully.
2025-02-19 21:21:43 - Loading transitive closure table into memory...
2025-02-19 21:22:07 - Loaded transitive closure table with 1108452 keys.
2025-02-19 21:22:07 - Loading history table into memory...
2025-02-19 21:22:08 - Loaded history table with 307273 keys.
2025-02-19 21:22:08 - Reading input CSV file 'Cerner_UK_Clinical_Standard-12-02-2025.csv'.
2025-02-19 21:22:09 - Found 1233 unique cluster IDs to process.
2025-02-19 21:22:09 - Cluster 'ACE_INHIBITOR_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ACE_INHIBITOR_ALLERGY_CLIN': original count = 1, added = 1, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'ACE_INHIBITOR_CONTRAINDICATION_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'AFIBREGISTRY_AFIB_OR_FLUTTER_ONLY_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'ARB_ADVERSE_REACTION_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ARB_ALLERGY_CLIN': original count = 2, added = 12, new total = 14 codes.
2025-02-19 21:22:09 - Cluster 'ARB_CONTRAINDICATION_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'AAA_SCREENING_FOLLOWUP_CLIN': original count = 1, added = 16, new total = 17 codes.
2025-02-19 21:22:09 - Cluster 'AAA_SCREENING_INCOMPLETE_CLIN': original count = 1, added = 16, new total = 17 codes.
2025-02-19 21:22:09 - Cluster 'AAA_SCREENING_COMPLETE_CLIN': original count = 1, added = 16, new total = 17 codes.
2025-02-19 21:22:09 - Cluster 'AAA_SCREENING_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
2025-02-19 21:22:09 - Cluster 'ABNORMAL_SPUTUM_CLIN': original count = 2, added = 1, new total = 3 codes.
2025-02-19 21:22:09 - Cluster 'ADHERENCE_TO_ASTHMA_TREATMENT_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'ADVANCE_CARE_PLAN_CLIN': original count = 2, added = 0, new total = 2 codes.
2025-02-19 21:22:09 - Cluster 'ADVANCE_CARE_PLAN_DECLINED_CLIN': original count = 1, added = 0, new total = 1 codes.
