Cluster ID,Concept ID,Term
dm_cod,313436004,Non-insulin-dependent diabetes mellitus without complication
dm_cod,609572000,RCAD (renal cysts and diabetes) syndrome
dm_cod,73211009,Diabetes mellitus
dm_cod,609577006,MODY10
dm_cod,199231005,Pre-existing malnutrition-related diabetes mellitus
dm_cod,199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium"
dm_cod,237617006,Thiamine-responsive megaloblastic anemia syndrome
dm_cod,276560009,Diabetes mellitus in neonate small for gestational age
dm_cod,782755007,"Primary microcephaly, mild intellectual disability, young-onset diabetes syndrome (disorder)"
dm_cod,427089005,Diabetes mellitus due to cystic fibrosis (disorder)
dm_cod,75524006,Malnutrition related diabetes mellitus
dm_cod,408540003,Diabetes mellitus induced by non-steroid drugs (disorder)
dm_cod,609564002,Pre-existing type 1 diabetes mellitus in pregnancy
dm_cod,190412005,Malnutrition-related diabetes mellitus without complications
dm_cod,609580007,"Diabetes mellitus, transient neonatal 2 (disorder)"
dm_cod,190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications
dm_cod,1217044000,Ketosis-resistant diabetes mellitus
dm_cod,123763000,Houssay's syndrome
dm_cod,127012008,Lipodystrophic diabetes
dm_cod,111552007,Diabetes mellitus without complication
dm_cod,24203005,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors"
dm_cod,4783006,Maternal diabetes mellitus with hypoglycaemia affecting foetus OR newborn
dm_cod,609575003,MODY8
dm_cod,782825008,"Primary microcephaly, epilepsy, permanent neonatal diabetes syndrome"
dm_cod,73211009,Diabetes mellitus
dm_cod,709147009,Gingivitis co-occurrent with diabetes mellitus
dm_cod,720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)"
dm_cod,40801000119106,Gestational DM antepartum
dm_cod,609579009,"Diabetes mellitus, transient neonatal 1"
dm_cod,190372001,Type I diabetes mellitus maturity onset
dm_cod,426875007,Latent autoimmune diabetes mellitus in adult (disorder)
dm_cod,703138006,Type II diabetes mellitus in remission (disorder)
dm_cod,237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
dm_cod,8801005,Secondary diabetes mellitus
dm_cod,237601000,Secondary endocrine diabetes mellitus
dm_cod,609569007,Diabetes mellitus due to genetic defect in insulin action
dm_cod,59079001,Diabetes mellitus associated with hormonal aetiology
dm_cod,530558861000132104,Atypical diabetes mellitus (disorder)
dm_cod,724067006,Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome (disorder)
dm_cod,5368009,Drug-induced diabetes mellitus (disorder)
dm_cod,40791000119105,Postpartum gestational diabetes mellitus (disorder)
dm_cod,609573005,MODY6
dm_cod,190368000,Type I diabetes mellitus with ulcer
dm_cod,609578001,"Maturity-onset diabetes of the young, type 11"
dm_cod,609574004,MODY7
dm_cod,5969009,Diabetes mellitus associated with genetic syndrome
dm_cod,1481000119100,Diabetes mellitus type 2 without retinopathy
dm_cod,237611007,"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus"
dm_cod,237600004,Malnutrition-related diabetes mellitus - fibrocalculous
dm_cod,42954008,Diabetes mellitus associated with receptor abnormality
dm_cod,609567009,Pre-existing type 2 diabetes mellitus in pregnancy
dm_cod,359642000,Type 2 diabetes mellitus in nonobese
dm_cod,46635009,Type 1 diabetes mellitus
dm_cod,10753491000119101,Gestational diabetes mellitus in childbirth (disorder)
dm_cod,1197592001,"Intrauterine growth restriction, short stature, early adult-onset diabetes syndrome"
dm_cod,1142044000,Pre-existing malnutrition-related diabetes mellitus in pregnancy
dm_cod,49817004,Neonatal diabetes mellitus (disorder)
dm_cod,722206009,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome (disorder)"
dm_cod,111307005,Donohue's syndrome
dm_cod,190389009,Type 2 diabetes mellitus with ulcer
dm_cod,783722008,Myopathy and diabetes mellitus (disorder)
dm_cod,81531005,NIDDM in obese
dm_cod,609561005,Maturity-onset diabetes of the young (disorder)
dm_cod,57886004,Malnutrition-related diabetes mellitus - protein-deficient
dm_cod,609563008,Pre-existing diabetes mellitus in pregnancy (disorder)
dm_cod,609568004,Diabetes mellitus due to genetic defect in beta cell function
dm_cod,112991000000101,Lipoatrophic diabetes mellitus without complication
dm_cod,190407009,Malnutrition-related diabetes mellitus with renal complications
dm_cod,609576002,"Maturity-onset diabetes of the young, type 9"
dm_cod,237599002,Insulin treated Type II diabetes mellitus
dm_cod,335621000000101,Maternally inherited diabetes mellitus (disorder)
dm_cod,199229001,Pre-existing type 1 diabetes mellitus (disorder)
dm_cod,31321000119102,Diabetes mellitus type 1 without retinopathy (disorder)
dm_cod,609562003,"Maturity onset diabetes of the young, type 1 (disorder)"
dm_cod,11687002,Gestational diabetes
dm_cod,237619009,Ballinger-Wallace syndrome
